[Kavita] [2026-02-13 14:04:43.147 +01:00  13] [Fatal] API.Program Running ManualMigrateInvalidBlacklistSeries migration - Please be patient, this may take some time. This is not an error
[Kavita] [2026-02-13 14:04:43.289 +01:00  13] [Fatal] API.Program Running ManualMigrateInvalidBlacklistSeries migration - Completed. This is not an error
[Kavita] [2026-02-13 14:04:43.318 +01:00  13] [Fatal] API.Program Running ManualMigrateScrobbleErrors migration - Please be patient, this may take some time. This is not an error
[Kavita] [2026-02-13 14:04:43.491 +01:00  13] [Fatal] API.Program Running ManualMigrateScrobbleErrors migration - Completed. This is not an error
[Kavita] [2026-02-13 14:04:43.512 +01:00  13] [Fatal] API.Program Running ManualMigrateNeedsManualMatch migration - Please be patient, this may take some time. This is not an error
[Kavita] [2026-02-13 14:04:43.618 +01:00  13] [Fatal] API.Program Running ManualMigrateNeedsManualMatch migration - Completed. This is not an error
[Kavita] [2026-02-13 14:04:43.658 +01:00  13] [Fatal] API.Program Running MigrateProgressExportForV085 migration - Please be patient, this may take some time. This is not an error
[Kavita] [2026-02-13 14:04:43.668 +01:00  13] [Fatal] API.Program Running MigrateProgressExportForV085 migration - Completed. This is not an error
[Kavita] [2026-02-13 14:04:43.713 +01:00  14] [Fatal] API.Program Running ManualMigrateScrobbleSpecials migration - Please be patient, this may take some time. This is not an error
[Kavita] [2026-02-13 14:04:43.841 +01:00  14] [Fatal] API.Program Running ManualMigrateScrobbleSpecials migration - Completed. This is not an error
[Kavita] [2026-02-13 14:04:43.861 +01:00  14] [Fatal] API.Program Running ManualMigrateScrobbleEventGen migration - Please be patient, this may take some time. This is not an error
[Kavita] [2026-02-13 14:04:43.981 +01:00  14] [Fatal] API.Program Running ManualMigrateScrobbleEventGen migration - Completed. This is not an error
[Kavita] [2026-02-13 14:04:44.015 +01:00  14] [Fatal] API.Program Running ManualMigrateReadingProfiles migration - Please be patient, this may take some time. This is not an error
[Kavita] [2026-02-13 14:04:44.529 +01:00  14] [Fatal] API.Program Running ManualMigrateReadingProfiles migration - Completed. This is not an error
[Kavita] [2026-02-13 14:04:44.546 +01:00  14] [Fatal] API.Program Running ManualMigrateEnableMetadataMatchingDefault migration - Please be patient, this may take some time. This is not an error
[Kavita] [2026-02-13 14:04:44.707 +01:00  14] [Warning] Microsoft.EntityFrameworkCore.Query The query uses the 'First'/'FirstOrDefault' operator without 'OrderBy' and filter operators. This may lead to unpredictable results.
[Kavita] [2026-02-13 14:04:44.914 +01:00  14] [Warning] Microsoft.EntityFrameworkCore.Query The query uses the 'First'/'FirstOrDefault' operator without 'OrderBy' and filter operators. This may lead to unpredictable results.
[Kavita] [2026-02-13 14:04:45.276 +01:00  14] [Fatal] API.Program Running ManualMigrateEnableMetadataMatchingDefault migration - Completed. This is not an error
[Kavita] [2026-02-13 14:04:45.302 +01:00  14] [Fatal] API.Program Running ManualMigrateBookReadingProgress migration - Please be patient, this may take some time. This is not an error
[Kavita] [2026-02-13 14:04:45.441 +01:00  14] [Fatal] API.Program Running ManualMigrateBookReadingProgress migration - Completed. This is not an error
[Kavita] [2026-02-13 14:04:45.443 +01:00  14] [Fatal] API.Program Running MigrateBadKoreaderProgress migration - Please be patient, this may take some time. This is not an error
[Kavita] [2026-02-13 14:04:45.504 +01:00  14] [Fatal] API.Program Running MigrateBadKoreaderProgress migration - Completed. This is not an error
[Kavita] [2026-02-13 14:04:45.507 +01:00  14] [Fatal] API.Program Running MigrateProgressToReadingSessions migration - Please be patient, this may take some time. This is not an error
[Kavita] [2026-02-13 14:04:45.583 +01:00  14] [Information] API.Program [MigrateProgressToReadingSessions] No progress records found to migrate
[Kavita] [2026-02-13 14:04:45.589 +01:00  14] [Fatal] API.Program Running MigrateProgressToReadingSessions migration - Completed. This is not an error
[Kavita] [2026-02-13 14:04:45.591 +01:00  14] [Fatal] API.Program Running MigrateMissingCreatedUtcDate migration - Please be patient, this may take some time. This is not an error
[Kavita] [2026-02-13 14:04:45.699 +01:00  14] [Fatal] API.Program Running MigrateMissingCreatedUtcDate migration - Completed. This is not an error
[Kavita] [2026-02-13 14:04:45.702 +01:00  14] [Fatal] API.Program Running MigrateTotalReads migration - Please be patient, this may take some time. This is not an error
[Kavita] [2026-02-13 14:04:45.757 +01:00  14] [Information] API.Program [MigrateTotalReads] No progress records found to migrate
[Kavita] [2026-02-13 14:04:45.764 +01:00  14] [Fatal] API.Program Running MigrateTotalReads migration - Completed. This is not an error
[Kavita] [2026-02-13 14:04:45.766 +01:00  14] [Fatal] API.Program Running MigrateToAuthKeys migration - Please be patient, this may take some time. This is not an error
[Kavita] [2026-02-13 14:04:45.947 +01:00  14] [Fatal] API.Program Running MigrateToAuthKeys migration - Completed. This is not an error
[Kavita] [2026-02-13 14:04:45.949 +01:00  14] [Fatal] API.Program Running MigrateMissingAppUserRatingDateColumns migration - Please be patient, this may take some time. This is not an error
[Kavita] [2026-02-13 14:04:45.953 +01:00  14] [Debug] API.Program Checking for missing date columns on AppUserRating table
[Kavita] [2026-02-13 14:04:45.975 +01:00  14] [Debug] API.Program All date columns already exist on AppUserRating table. Skipping migration.
[Kavita] [2026-02-13 14:04:45.980 +01:00  14] [Fatal] API.Program Running MigrateMissingAppUserRatingDateColumns migration - Completed. This is not an error
[Kavita] [2026-02-13 14:04:45.982 +01:00  14] [Fatal] API.Program Running MigrateFormatToActivityDataV2 migration - Please be patient, this may take some time. This is not an error
[Kavita] [2026-02-13 14:04:46.035 +01:00  14] [Information] API.Program No activity data requires Format backfill
